date,Nuggets,Trailblazers,Jazz,Thunder,Twolves,Warriors,Clippers,Kings,Suns,Lakers,Spurs,Grizzlies,Mavericks,Rockets,Pelicans,Hawks,Heat,Hornets,Wizards,Magic,Cavaliers,Pistons,Pacers,Bulls,Bucks,Raptors,Celtics,Knicks,Nets,76ers
1947,,,,,,35,,,,,,,,,,,,,,,,,,,,,22,33,,
1948,,,,,,27,,,,,,,,,,,,,,,,,,,,,20,26,,
1949,,,,,,28,,45,,44,,,,,,,,,,,,22,,,,,25,32,,
1950,,,,,,26,,51,,51,,,,,,29,,,,,,40,,,,,22,40,,51
1951,,,,,,40,,41,,44,,,,,,25,,,,,,32,,,,,39,36,,32
1952,,,,,,33,,41,,40,,,,,,17,,,,,,29,,,,,39,37,,40
1953,,,,,,12,,44,,48,,,,,,27,,,,,,36,,,,,46,47,,47
1954,,,,,,29,,44,,46,,,,,,21,,,,,,40,,,,,42,44,,42
1955,,,,,,33,,29,,40,,,,,,26,,,,,,43,,,,,36,38,,43
1956,,,,,,45,,31,,33,,,,,,33,,,,,,37,,,,,39,35,,35
1957,,,,,,37,,31,,34,,,,,,34,,,,,,34,,,,,44,36,,38
1958,,,,,,37,,33,,19,,,,,,41,,,,,,33,,,,,49,35,,41
1959,,,,,,32,,19,,33,,,,,,49,,,,,,28,,,,,52,40,,35
1960,,,,,,49,,19,,25,,,,,,46,,,,,,30,,,,,59,27,,45
1961,,,,,,46,,33,,36,,,,,,51,,,,,,34,,,,,57,21,,38
1962,,,,,,49,,43,,54,,,,,,29,,,18,,,37,,,,,60,29,,41
1963,,,,,,31,,42,,53,,,,,,48,,,25,,,34,,,,,58,21,,48
1964,,,,,,48,,55,,42,,,,,,46,,,31,,,23,,,,,59,22,,34
1965,,,,,,17,,48,,9,,,,,,45,,,37,,,31,,,,,62,31,,40
1966,,,,,,35,,45,,45,,,,,,36,,,38,,,22,,,,,54,30,,55
1967,,,,,,44,,39,,36,,,,,,39,,,20,,,30,,33,,,60,36,,68
1968,45,,,23,,43,,39,,52,46,,,15,,56,,,36,,,40,38,29,,,54,43,36,62
1969,44,,,30,,41,,41,16,55,41,,,37,,48,,,57,,,32,44,33,27,,48,54,17,55
1970,51,,,36,,30,,36,39,46,45,,,27,,48,,,50,,,31,59,39,56,,34,60,39,42
1971,30,29,,38,,41,22,33,48,48,30,,,40,,36,,,42,,15,45,58,51,66,,44,52,40,47
